Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_welcome,54962,81,79,90,91,150,64,708,0.000%,914.72223,329.62,288.53
TOTAL,54962,81,79,90,91,150,64,708,0.000%,914.72223,329.62,288.53
