Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_protected_authenticated,39900,112,112,122,124,133,94,384,0.000%,663.93770,466.37,215.26
TOTAL,39900,112,112,122,124,133,94,384,0.000%,663.93770,466.37,215.26
