Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_image_resize,54574,82,81,91,94,103,64,300,0.000%,908.14391,306.85,294.44
TOTAL,54574,82,81,91,94,103,64,300,0.000%,908.14391,306.85,294.44
