Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_image_resize,20602,347,31,41,77,7132,19,43208,100.000%,207.96867,163.02,25.39
TOTAL,20602,347,31,41,77,7132,19,43208,100.000%,207.96867,163.02,25.39
