Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_images_small,585,8362,7372,16656,18969,27054,257,48829,0.000%,8.80719,2000.91,2.92
TOTAL,585,8362,7372,16656,18969,27054,257,48829,0.000%,8.80719,2000.91,2.92
