Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_image_resize,8308,543,543,987,1337,2377,38,4978,0.000%,137.84178,1929.02,48.46
TOTAL,8308,543,543,987,1337,2377,38,4978,0.000%,137.84178,1929.02,48.46
