Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_image_resize,704,7074,8720,9779,9830,9899,401,9940,0.000%,10.13066,159.91,3.56
TOTAL,704,7074,8720,9779,9830,9899,401,9940,0.000%,10.13066,159.91,3.56
