Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
GET_images_large,8533,531,574,818,1219,1875,41,6037,0.000%,140.91089,1984.41,49.54
TOTAL,8533,531,574,818,1219,1875,41,6037,0.000%,140.91089,1984.41,49.54
