scenario,mean_ms,std_ms,p50_ms,p95_ms,p99_ms
no-cdn,321.65353333333337,22.625627571762333,320.593,351.80465,364.53056
cdn,212.2491666666667,38.188954992956056,200.22699999999998,275.8003,312.14371000000006
