scenario,mean_ms,std_ms,p50_ms,p95_ms,p99_ms
no-cdn,113.17376666666664,15.869611251965368,110.5645,139.68915,140.82331
cdn,62.04296666666666,13.401876550237882,61.199,82.82974999999999,87.91181
