scenario,mean_ms,std_ms,p50_ms,p95_ms,p99_ms
no-cdn,321.50763333333333,22.63752964541685,320.461,351.68495,364.38917
cdn,251.87650000000002,126.3601392969918,203.454,541.2153999999999,646.7698800000001
